word,llm_frequency_raw,word_length
genomics,8,8
bolster,4,7
biodiversity,103,12
ecosystem,146,9
hundreds,62,8
ancestors,34,9
build,952,5
robust,31,6
user,104,4
friendly,155,8
web,123,3
freelancer,7,10
effective,315,9
structured,118,10
inspired,1491,8
ere,3,3
robustly,2,8
goal,323,4
prior,51,5
writing,268,7
code,225,4
designing,54,9
layout,49,6
my,711,2
audience,119,8
clients,26,7
coworkers,10,9
classmates,3,10
portfolio,12,9
announcement,29,12
blog,26,4
post,186,4
contact,110,7
download,11,8
pdf,8,3
draft,84,5
homepage,1,8
submit,23,6
prevents,130,8
wasted,48,6
effort,410,6
purposeful,112,10
semantic,2,8
html,7,4
tags,48,4
relying,49,7
solely,18,6
div,6,3
span,8,4
elements,150,8
header,11,6
nav,2,3
href,3,4
id,25,2
i'm,14,3
passionate,34,10
accessibility,52,13
featured,44,8
compressed,17,10
tremor,167,6
restricted,16,10
access,347,6
andes,10,5
dimly,26,5
lit,94,3
guanaco,2,7
plains,17,6
volumetric,1,10
present,258,7
upon,78,4
bone,183,4
haze,87,4
outline,28,7
occupy,5,6
profoundly,30,10
thunder,65,7
glacial,15,7
pools,39,5
meet,199,4
hostility,13,9
tales,39,5
herd,24,4
weren,218,5
mummified,2,9
volumetrically,1,14
suspended,133,9
permanence,16,10
tomb,36,4
cradle,22,6
sanctuary,117,9
creatures,113,9
scoured,27,7
ridges,15,6
spirits,35,7
service,189,7
cumulonimbus,5,12
midwest,60,7
regional,264,8
urged,42,5
vigilant,21,8
towering,82,8
observed,98,8
looms,13,5
forecasters,5,11
nws,5,3
urgent,168,6
update,63,6
thunderstorms,6,13
flash,119,5
flooding,55,8
tornadoes,2,9
exhibits,23,8
instability,64,11
anvil,15,5
updrafts,2,8
meteorologists,14,14
cloud's,1,7
textbook,33,8
atmospheric,66,11
buildup,34,7
lightning,122,9
occurring,32,9
rate,98,4
minute,311,6
predict,78,7
cell,861,4
unquotable,1,10
lena,459,4
forecaster,2,10
forecast,17,8
precise,365,7
guarantee,8,9
evacuation,26,10
warnings,62,8
effect,186,6
lying,62,5
missouri,21,8
mississippi,9,11
advised,22,7
monitor,139,7
alerts,52,6
apps,113,4
broadcasts,5,10
agency,69,6
activated,39,9
tier,22,4
messaging,39,9
pagination,1,10
updates,60,7
chunks,13,6
evolve,55,6
overload,57,8
midday,14,6
households,41,10
iowa,24,4
illinois,12,8
outages,19,7
crews,72,5
standby,4,7
shelters,25,8
opening,143,7
major,233,5
cities,209,6
emphasized,107,10
redefines,4,9
unpredictable,120,13
informed,75,8
ergonomic,10,9
workstation,5,11
overuse,16,7
injuries,63,8
cozen,3,5
antigen,9,7
introduction,168,12
silently,72,8
leading,212,7
carpal,2,6
syndrome,16,8
neck,105,4
repetitive,29,10
blends,279,6
ergonomics,4,10
workspace,72,9
protects,79,8
harming,16,7
inspiration,406,11
exam,16,4
lateral,6,7
epicondylitis,1,13
tennis,3,6
elbow,9,5
tendons,13,7
leads,125,5
immune,349,6
threats,95,7
sends,161,5
signals,646,7
detects,36,7
alarm,205,5
battlefield,23,11
fighting,103,8
germs,31,5
antigens,3,8
poor,199,4
armed,11,5
supported,45,9
response,494,8
height,59,6
thighs,7,6
parallel,39,8
lumbar,4,6
spine,208,5
slouching,7,9
pair,82,4
underwear,9,9
wardrobe,17,8
wellness,223,8
clothing,46,8
wearing,93,7
crisp,150,5
shirt,51,5
flowing,146,7
dress,72,5
jeans,22,5
supportive,32,10
shopping,28,8
axillary,1,8
panty,4,5
importunately,1,13
practicality,37,12
panties,8,7
store,187,5
cart,44,4
activity,257,8
office,167,6
errands,5,7
wear,187,4
waisted,4,7
flowy,4,5
skirts,4,6
dresses,3,7
prioritize,115,10
coverage,14,8
breathability,4,13
suits,6,5
styles,15,6
quick,184,5
briefs,3,6
minimal,122,7
bunching,1,8
microfiber,14,10
thongs,1,6
fitting,44,7
outfits,9,7
bodycon,1,7
leggings,3,8
eliminate,51,9
vpl,1,3
discomfort,113,10
properly,133,8
elastics,1,8
spongy,15,6
pushed,150,6
aside,62,5
dangling,16,8
scattered,187,9
pilgrimage,5,10
woods,55,5
cat,125,3
branch,119,6
colossal,32,8
fig,10,3
greys,12,5
silvers,4,7
covered,70,7
startled,74,8
expectant,32,9
cats,19,4
live,314,4
gesture,80,7
fluidity,9,8
leapt,13,5
strangler,1,9
lush,28,4
rainwater,28,9
root,296,4
decaying,19,8
epiphytes,6,9
clinging,132,8
paws,13,4
fixed,266,5
guarding,13,8
reminded,32,8
explore,587,7
themes,325,6
preternatural,7,13
posturer,3,8
conceded,2,8
literal,99,7
imaginative,31,11
lenses,32,6
relatable,62,9
creates,232,7
illusion,37,8
sentinels,35,9
underbrush,12,10
pounds,29,6
bear,72,4
doing,455,5
sensing,48,7
constructing,10,12
guesses,19,7
instincts,36,9
neuroscience,75,12
ultimate,42,8
flexible,194,8
receive,82,7
predicts,13,8
predictions,19,11
guess,78,5
predicting,32,10
predator,47,8
falling,167,7
sensory,99,7
arrives,56,7
says,544,4
yep,1,3
prediction,17,10
tweaks,9,6
dancer,53,6
correcting,19,10
stance,42,6
predictive,29,10
processing,105,10
passively,14,9
actively,73,8
posing,6,6
posturing,2,9
constantly,239,10
con,5,3
markswoman,3,10
headphones,29,10
stakes,86,6
worlds,42,6
marksmanship,4,12
audio,73,5
haul,11,4
trucking,2,8
cuts,92,4
lining,45,6
shot,67,4
wisdom,463,6
markswomen,1,10
headphone,2,9
professional,219,12
journey,259,7
takes,191,5
weapon,79,6
marksman,2,8
rifle,18,5
selects,8,7
fits,102,4
likewise,5,8
cognitive,143,9
cancellation,2,12
anc,2,3
blocking,44,8
engine,204,6
ear,136,3
provides,44,8
isolation,97,9
earbuds,6,7
shooting,13,8
mask,40,4
fitted,18,6
foam,48,4
cups,22,4
lightweight,66,11
frames,34,6
wired,36,5
headset,5,7
jack,10,4
interference,32,12
bluetooth,5,9
bolt,33,4
semi,22,4
auto,28,4
entertainment,16,13
achieve,106,7
milestone,44,9
transubstantiating,2,18
micron,5,6
theoretical,27,11
application,374,11
max,23,3
planck,16,6
institute,253,9
successfully,53,12
transubstantiated,2,17
electrical,153,10
phononic,1,8
vibrational,2,11
dimensional,26,11
marking,95,7
engineering,129,11
experiment,83,10
detailed,71,8
involved,116,8
cooling,69,7
specially,9,9
engineered,52,10
tungsten,13,8
diselenide,1,10
monolayer,1,9
absolute,38,8
zero,50,4
applying,57,8
laser,39,5
pulses,52,6
result,189,6
reversible,5,10
transformation,192,14
vibrations,66,10
effectively,179,11
mechanical,98,10
microns,6,7
cho,227,3
speculatively,1,13
manipulate,18,10
unprecedented,70,13
revolutionize,41,13
ultra,28,5
efficient,275,9
nanoscale,6,9
sensors,118,7
harvesting,28,10
reaching,121,8
harnessing,9,10
transubstantiation,1,18
engineers,107,9
circuits,41,8
convert,19,7
waste,396,5
usable,39,6
speculative,15,11
micro,133,5
robots,13,6
validates,8,9
models,160,6
pushes,86,6
boundaries,115,10
physically,109,10
grapples,20,8
possibilities,80,13
malleable,6,9
levelheadedness,2,15
electrum,3,8
hot,313,3
blazes,4,6
overhead,41,8
scatters,3,8
parched,12,7
treasure,72,8
collar,45,6
parch,2,5
stressed,98,8
anxious,60,7
merciless,5,9
mode,70,4
amygdala,35,8
almond,9,6
screams,25,7
triggers,113,8
hormones,66,8
cortisol,43,8
adrenaline,21,10
quickens,9,8
suddenly,405,8
cracking,45,8
emotions,193,8
overpower,1,9
snap,78,4
rash,9,4
weakness,54,8
protect,297,7
overreacting,9,12
counterforce,2,12
overtaken,2,9
prefrontal,35,10
cortex,51,6
ceo,32,3
reasoning,45,9
riverbed,46,8
hunting,54,7
divining,4,8
longing,38,7
deepest,35,7
pocket,180,6
closing,60,7
hammered,44,8
fled,19,4
chasing,194,7
whispers,262,8
rites,8,5
gnaw,4,4
loneliness,50,10
frost,96,5
riverbank,36,9
changed,136,7
unfolding,62,9
sacred,171,6
theirs,14,6
eloped,2,6
crowded,76,7
expectations,81,12
beginner,28,8
microbarograph,6,14
delphinium,1,10
indicators,30,10
seismic,36,7
enthusiast,31,10
farmer,59,6
preparing,100,9
trends,92,6
plan,348,4
outdoor,85,7
activities,55,10
detect,115,6
instrument,124,10
fluctuations,41,12
diy,64,3
versions,38,8
affordable,73,10
everyone,214,8
barometer,1,9
logging,21,7
capabilities,15,12
reading,240,7
output,58,6
excel,13,5
sheets,77,6
internet,50,8
doctor,49,6
watches,26,7
arrive,42,6
indoors,16,7
bathroom,22,8
humidity,81,8
swings,44,6
skew,2,4
readings,27,8
vents,22,5
fans,51,4
doors,96,5
airflow,39,7
exposed,101,7
ideally,7,7
delphiniums,1,11
tall,207,4
vibrantly,1,9
climates,44,8
tasted,299,6
passage,53,7
underbelly,19,10
choked,94,6
festered,2,8
debt,51,4
collector,20,9
knock,29,5
pipe,100,4
crushing,48,8
suffocating,46,11
obligations,12,11
scrape,27,6
guttural,10,8
chuckle,17,7
knuckleduster,2,13
meagre,3,6
lamppost,7,8
claws,17,5
glinted,12,7
cruel,22,5
predatory,8,9
atheroma,4,8
surfaced,78,8
unbidden,48,8
read,365,4
hardening,12,9
arteries,21,8
thief,62,5
stealing,26,8
lifeblood,14,9
filling,60,7
feeding,53,7
swinging,22,8
lazily,3,6
wallet,10,6
stain,39,5
shop,166,4
smell,232,5
outbreak,22,8
streptococcal,2,13
infections,103,10
piggery,5,7
operations,103,10
sparks,183,6
department,295,10
intensive,19,9
advisory,44,8
zoonotic,1,8
disease,195,7
transmission,35,12
biosecurity,2,11
measures,89,8
detected,67,8
streptococcus,5,13
suis,2,4
bacterium,34,9
commonly,80,8
pigs,11,4
capable,82,7
symptoms,173,8
fever,67,5
meningitis,3,10
permanent,61,9
hearing,110,7
neurological,28,12
individuals,270,11
farm,92,4
workers,217,7
proximity,12,9
pig,11,3
farms,38,5
preliminary,57,11
investigations,17,14
agricultural,92,12
airborne,27,8
inadequate,18,10
contributors,6,12
slaughter,4,9
equipment,99,9
ppe,4,3
sensitizers,2,11
increasing,109,10
vulnerability,53,13
generally,12,9
contagious,14,10
occupational,10,12
exposures,3,9
prolonged,78,9
inhalation,10,10
aerosolized,1,11
barriers,73,8
lowering,14,8
mandated,10,8
enhanced,53,8
personnel,14,9
ventilation,28,11
screenings,29,10
additionally,24,12
education,220,9
campaign,135,8
launched,334,8
preventive,34,10
avoiding,122,8
promptly,10,8
flu,16,3
incident,158,8
underscores,92,11
balancing,68,9
productivity,173,12
intensifying,18,12
livestock,17,9
trend,201,5
regulatory,53,10
seeker,26,6
lexicographer,4,13
retriever,7,9
unvaried,2,8
mindset,393,7
superpower,76,10
lifelong,60,8
learner,12,7
dramatically,62,12
improve,260,7
adopting,28,8
archetypes,20,10
teaches,225,7
apply,345,5
dictionary,21,10
maker,35,5
usage,27,5
nuances,14,7
aim,68,3
accuracy,83,8
usefulness,7,10
takeaway,73,8
researching,12,11
definitions,9,11
searching,45,9
productive,76,10
reduce,330,6
procrastination,36,15
authoritative,13,13
academic,105,8
databases,14,9
dictionaries,8,12
encyclopedias,3,13
glossary,2,8
write,483,5
learn,421,5
misinterpretation,8,17
search,59,6
dog,152,3
trained,108,7
accurately,24,10
sniff,11,5
return,188,6
subdominant,7,11
chords,9,6
perils,2,6
overreliance,5,12
mishearing,6,10
perception,101,10
lin,325,3
viral,133,5
clip,21,4
reignited,22,9
mishear,1,7
misheard,6,8
lyric,6,5
indie,18,5
rook,10,4
originally,50,10
sung,24,4
listeners,5,9
platforms,87,9
repeating,74,9
station,100,7
humorous,10,8
auditory,9,8
fill,82,4
gaps,81,4
referring,30,9
fourth,25,6
diatonic,1,8
due,363,3
phonetic,10,8
similarity,5,10
ambient,36,7
production,161,10
cultural,432,8
algorithm,26,9
curated,79,7
playlists,7,9
generated,16,9
recommendations,13,15
critically,31,10
actual,60,6
musicologist,1,12
montreal,3,8
intentionally,62,13
artists,127,7
memes,13,5
remixes,1,7
fan,41,3
podcast,15,7
streaming,27,9
educators,83,9
trivializes,2,11
musical,82,7
technicality,3,12
composers,4,9
marcus,264,6
bell,280,4
insulated,16,9
portable,38,8
houseless,3,9
knoblike,3,8
balneological,3,13
emergencies,33,11
minimalist,41,10
thermal,69,7
cozy,86,4
highly,110,6
experiencing,75,12
homelessness,6,12
developed,124,9
ingenious,2,9
tech,329,4
honor,97,5
prioritizing,30,12
resourcefulness,16,15
dignity,97,7
knots,17,5
pods,18,4
compact,37,7
rounded,20,7
optimize,43,8
minimizing,33,10
insight,272,7
waters,48,6
preventing,61,10
microclimate,7,12
layering,31,8
insulation,52,10
sealing,31,7
knotpod,1,7
dome,63,4
sit,197,3
sourced,43,7
frame,174,5
sturdy,83,6
poles,40,5
bamboo,28,6
pvc,5,3
covering,22,8
waterproof,24,10
tarp,15,4
ft,26,2
polyethylene,2,12
sheet,106,5
rigid,230,5
stirring,56,8
hover,11,5
gas,146,3
vapor,43,5
volatile,42,8
tallish,3,7
conspiring,3,10
restless,118,8
staying,145,7
put,115,3
rubbing,18,7
perfume,56,7
bottle,111,6
bouncing,33,8
gain,72,4
vaporization,4,12
content,166,7
float,92,5
builds,235,6
escaped,38,7
taller,34,6
eventually,84,10
negotiation,24,11
agreement,45,9
clever,209,6
reroute,19,7
mellifluent,2,11
abort,4,5
communicate,170,11
outcomes,144,8
underused,36,9
persuasively,1,12
gracefully,15,10
unproductive,17,12
irrelevant,26,10
conversations,163,13
veer,4,4
tangents,5,8
outbursts,7,9
debates,44,7
topic,32,5
frustrations,12,12
intervention,62,12
escalate,32,8
conflict,157,8
notice,278,6
solve,116,5
concern,173,7
circle,121,6
refocus,4,7
reposition,12,10
discussion,47,10
reframe,99,7
discussing,16,10
blame,41,5
tone,200,4
rejecting,24,9
speaker,49,7
steering,21,8
colleague,37,9
instructions,133,12
appreciate,47,10
feedback,228,8
agree,31,5
cavern,27,6
chasm,23,5
torchlight,2,10
sconces,5,7
abyss,16,5
yawned,14,6
prove,37,5
expose,11,6
sages,1,5
traverse,3,8
scoffed,21,7
mapped,24,6
fissure,43,7
spoken,104,6
vault,42,5
fool,16,4
folly,6,5
leader,74,6
sneered,2,7
reward,61,6
mockery,6,7
condescending,4,13
smiles,12,6
mentioned,29,9
rhythmic,207,8
mad,8,3
showman,5,7
exhibitor,3,9
tightened,35,9
grip,148,4
rope,94,4
teller,23,6
demonstrate,17,11
lungs,134,5
terrifying,46,10
slammed,33,7
screaming,49,9
swung,12,5
gasping,22,7
braced,17,6
himself,60,7
colder,40,6
private,139,7
retreat,67,7
menthol,8,7
hutment,4,7
thicket,16,7
stepping,135,8
cools,53,5
calms,19,5
shields,20,7
fortune,24,7
continents,36,10
restorative,11,11
backyard,49,8
balcony,47,7
spare,19,5
harness,69,7
chill,82,5
refreshing,28,10
mint,63,4
tricks,48,6
nerves,103,6
scented,12,7
drops,73,5
peppermint,6,10
spearmint,1,9
oil,237,3
diffuser,1,8
spray,42,5
bedding,5,7
seating,17,7
silky,12,5
finish,102,6
linen,30,5
naturally,223,9
pitcher,14,7
chilled,8,7
infused,38,7
sipping,36,7
enhances,45,8
internally,11,10
strategic,245,9
bowl,117,4
ice,346,3
passes,56,6
responds,63,8
minty,4,5
scents,15,6
perceived,42,9
stressful,39,9
hut,4,3
tent,22,4
sheikdom,3,8
verbalization,4,13
indispensability,3,16
fast,572,4
business,237,8
interaction,51,11
indispensable,6,13
timeless,68,8
equip,8,5
sheikdoms,1,9
authority,114,9
responsibility,129,14
sheik,3,5
articulating,2,12
vision,210,6
speaking,205,8
pivoting,4,8
customer,75,8
retention,47,9
starting,213,8
shout,102,5
commands,27,8
pausing,30,7
thoughts,362,8
delivering,48,10
filler,23,6
um,13,2
replacing,61,9
speech,121,6
converting,13,10
inner,336,5
fail,84,4
fully,166,5
verbalized,1,10
advance,29,7
days,450,4
sheen,25,5
porcelain,87,9
coming,136,6
bulb,45,4
letter,149,6
slipped,101,7
cracks,177,6
unmarked,30,8
bent,121,4
skewed,7,6
blurred,95,7
handing,21,7
nod,97,3
certainty,96,9
weeks,286,5
boarded,15,7
bakery,96,6
maple,62,5
street,222,6
sourdough,34,9
rise,320,4
golden,249,6
tilted,147,6
ribbon,78,6
cinnamon,53,8
unfurled,35,8
canvas,84,6
indigo,52,6
streaks,47,7
upside,13,6
jazz,23,4
club,41,4
musician,45,8
microphone,10,10
played,128,6
drummer,7,7
improvises,3,10
melody,104,6
creation,75,8
hypothermal,2,11
processes,136,9
stumble,33,7
phrase,86,6
accident,77,8
spaces,300,6
extremely,18,9
creative,226,8
freezing,43,8
circumstances,18,13
organisms,68,9
microbes,73,8
psychrophiles,1,13
lovers,33,6
improvise,3,9
enzymes,102,7
blooded,2,7
musicians,26,9
knack,4,5
adapting,71,8
allowing,100,8
perform,64,7
responding,99,10
else,334,4
stop,372,4
fiercely,15,8
fortress,75,8
invaders,66,8
digestion,51,9
gastritis,4,9
unwelcome,16,9
siege,18,5
resilient,293,9
inflamed,7,8
irritated,7,9
monsters,7,8
enemy,67,5
helicobacter,1,12
pylori,1,6
sneaks,27,6
starts,300,6
trouble,32,7
painkillers,6,11
nsaids,3,6
bombs,4,5
latchstring,6,11
fashioned,25,9
hanging,57,7
homeowner,9,9
mucus,41,5
slimy,9,5
acid,132,4
burned,61,6
inflammation,77,12
sets,144,4
burning,95,7
bloating,15,8
nausea,14,6
failed,92,6
treat,143,5
killing,10,7
heal,97,4
mending,21,7
hollows,44,7
carvings,19,8
spirals,63,7
writhe,9,6
requisitely,2,11
necessary,118,9
obligatory,1,10
forbade,9,7
striders,2,8
beasts,12,6
given,130,5
compulsion,8,10
shown,60,5
locket,69,6
sentiment,11,9
comfit,2,6
sugar,352,5
dusted,37,6
purest,11,6
grant,83,5
torch,20,5
sputtered,13,9
wider,39,5
fallen,87,6
masonry,9,7
ghostly,71,7
eroded,13,6
chased,14,6
chestnut,20,8
farandole,1,9
cobbled,29,7
lysander,3,8
weary,78,5
blur,93,4
syncopated,3,10
joy,250,3
wouldn't,2,8
swelled,15,7
fiddles,1,7
flutes,8,6
maybe,434,5
ten,93,3
sparrows,13,8
stumbled,78,8
join,43,4
shivered,32,8
molten,70,6
onlookers,11,9
brushed,214,7
knee,64,4
panting,6,7
flushed,12,7
anger,63,5
painful,48,7
earnestness,2,11
barely,131,6
prick,8,5
teaching,91,8
pricking,7,8
sharpness,12,9
travelled,1,9
determined,54,10
dancers,53,7
botanists,25,9
unfrosted,2,9
xylem,8,5
watch,238,5
sounding,64,8
troubling,71,9
boreal,1,6
surviving,90,9
unseasonably,6,12
vascular,22,8
scandinavia,3,11
siberia,5,7
skipping,34,8
hardens,4,7
disrupts,31,8
crucial,121,7
crystals,61,8
cells,1109,5
sustained,59,9
vulnerable,128,10
thawing,7,7
snaps,32,5
embolism,4,8
bubbles,51,7
conducting,23,10
tubes,38,5
mortality,9,9
rates,132,5
irreversible,29,12
madsen,9,6
dendrologist,6,12
alarming,46,8
offs,4,4
starve,4,6
problem,459,7
compounded,9,10
grammatical,5,11
ecological,192,10
reports,120,7
communications,30,14
misuse,24,6
versus,11,6
phloem,1,6
confusing,44,9
hampers,2,7
policy,201,6
responses,57,9
stricter,50,8
editorial,10,9
standards,89,9
environmental,785,13
reporting,103,9
basics,34,6
cyclamen,7,8
beginners,32,9
finfish,2,7
garden,591,6
windowsill,45,10
basic,102,5
aquarium,9,8
nurturing,31,9
persicum,1,8
bringing,59,8
stunning,29,8
foliage,10,7
pot,116,3
ceramic,59,7
drainage,65,8
holes,52,5
mixing,46,6
airy,15,4
potting,13,7
peat,12,4
perlite,3,7
compost,52,7
baking,85,6
saucer,9,6
tray,28,4
misting,8,7
sprayer,1,7
thermometer,13,11
checking,91,8
temp,6,4
tank,24,4
larger,154,6
tuber,4,5
potato,12,6
greasy,60,6
reflecting,131,10
loop,105,4
headlights,19,10
leo,175,3
bike,97,4
rebuilt,11,7
graveyard,14,9
wheelbase,8,9
unhurried,13,9
rides,17,5
frantic,213,7
sprints,11,7
gave,67,4
shuttered,73,9
brick,121,5
tendrils,22,8
smoked,17,6
papery,20,6
grill,15,5
aged,58,4
soot,28,4
piled,27,5
dumpster,15,8
inhaled,15,7
engines,50,7
worked,114,6
handlebars,8,10
patina,4,6
forearms,4,8
collagen,17,8
scaffolding,22,11
taut,32,4
muscles,186,7
anchored,19,8
sustaining,52,10
terrarium,5,9
sphagnum,6,8
jellify,6,7
transform,191,9
household,40,9
blueprint,217,9
regulates,24,9
stabilize,68,9
gel,37,3
crushed,82,7
aloe,2,4
vera,3,4
agar,2,4
moisture,194,8
retaining,7,9
scaffold,19,8
mimics,33,6
bogs,1,4
busy,166,4
wanting,20,7
container,68,9
jar,120,3
vase,10,4
coconut,14,7
coir,3,4
decorative,43,10
pebbles,29,7
succulent,10,9
tolerant,8,8
spoon,80,5
trowel,16,6
source,239,6
vegan,9,5
jukebox,14,7
playing,184,7
tune,104,4
twangy,1,6
lashed,102,6
smeared,22,7
watercolor,66,10
mae,2,3
formica,8,7
third,155,5
brow,48,4
furrowed,10,8
grade,52,5
buzz,69,4
jingled,14,7
shaking,25,7
solidity,3,8
rimmed,7,6
magnified,3,9
startlingly,7,11
baritone,2,8
gravelly,8,8
smoothed,19,8
stream,132,6
softened,55,8
please,27,6
slice,51,5
lemon,60,5
pie,20,3
nodded,62,6
plate,91,5
prickle,24,7
honky,1,5
hesitated,51,9
glanced,40,7
hate,21,4
polite,38,6
unavoidable,9,11
buffer,33,6
learned,161,7
dripping,75,8
linoleum,19,8
flinch,73,6
shaping,98,7
hillside,21,8
pushing,187,7
paths,130,5
mound,11,5
earthwork,2,9
cigar,9,5
folks,8,5
stogie,8,6
releasing,92,9
puffs,9,5
enduring,106,8
character,90,9
tectonics,7,9
shell,107,5
pieces,183,6
tectonic,55,8
plates,68,6
crust,77,5
tiles,49,5
grinding,67,8
colliding,13,9
rearrange,24,9
planet,174,6
ember,35,5
explosion,52,9
burn,102,4
speed,300,5
fingernail,11,10
collide,17,7
valleys,33,7
rifts,5,5
slide,58,5
faceable,2,8
earthquakes,19,11
volcanoes,5,9
frightening,3,11
parasitic,14,9
worms,20,5
exploit,15,7
microbiome,10,10
consolidated,3,12
hosts,26,5
washington,84,10
microbiology,8,12
nematodes,3,9
cecum,3,5
pouch,16,5
intestine,8,9
davis,3,5
reproduce,46,9
microbial,60,9
antibiotic,24,10
examined,17,8
diverse,76,7
geographic,12,10
diversity,60,9
antibiotics,24,11
ascaris,1,7
lumbricoides,1,12
trichuris,1,9
trichiura,1,9
parasite,17,8
reyes,82,5
parasitically,1,13
exploiting,10,10
simplified,20,10
dominate,25,8
vacuum,62,6
parasites,5,9
fermentation,46,12
nutrient,66,8
absorption,19,10
battleground,5,12
secrete,7,7
suppress,27,8
promoting,41,9
metabolites,3,11
resource,57,8
widespread,83,10
results,322,7
restoring,71,9
diet,63,4
fecal,1,5
transplants,6,11
grapple,30,7
antimicrobial,16,13
church,133,6
exodus,7,6
abbey,10,5
scandal,14,7
abbot,16,5
resignation,23,11
shaken,11,6
st,44,2
elwin,2,5
members,160,7
benedictine,2,11
abruptly,11,8
premises,8,8
month,294,5
exoduses,1,8
mass,130,4
follows,112,7
brother,39,7
cyprian,1,7
overseen,2,8
monastery,10,9
officially,105,10
cited,47,5
reasons,18,7
exit,36,4
insiders,3,8
unrest,8,6
eerie,17,5
margaret,49,8
holloway,44,8
gates,23,5
locked,87,6
bells,32,5
rung,20,4
monks,15,5
terrified,8,9
circulate,7,9
alleged,19,7
misconduct,8,10
unverified,15,10
mismanagement,7,13
abuse,14,5
monastic,10,8
formal,113,6
charges,39,7
filed,25,5
online,236,6
describing,44,10
spiritually,14,11
acknowledging,33,13
caused,105,6
launching,92,9
villagers,52,9
grappling,29,9
landmark,88,8
anchor,138,6
reverend,17,8
daniel,31,6
hart,8,4
wye,1,3
periwig,2,7
curls,16,5
yesterday,60,9
jetty,1,5
salty,27,5
dipped,57,6
net,46,3
swish,2,5
shake,31,5
whitebait,1,9
mesh,22,4
flashes,25,7
tobias,4,6
crinkled,5,8
amusement,7,9
waistcoat,7,9
stitched,72,8
moth,68,4
pouring,28,7
chipped,122,7
coiled,78,6
hits,149,4
tradition,222,9
dart,20,4
slip,53,4
misty,17,5
apron,29,5
replacement,22,11
quenchable,2,10
allocator,1,9
abstract,96,8
metaphors,181,9
bodies,160,6
quenching,5,9
allocation,13,10
bustling,238,8
buildings,158,9
pollution,100,9
uv,41,2
rays,58,4
cellular,120,8
swapping,12,8
roof,152,4
misbehaving,2,11
identifies,19,10
recycling,56,9
blueprints,41,10
mrna,29,4
factory,137,7
faulty,30,6
robot,36,5
arm,112,3
glitches,10,8
operation,67,9
eliminating,28,11
putting,49,7
spreads,144,7
damaging,33,8
roofs,18,5
sparking,101,8
fires,44,5
radicals,14,8
firebrands,1,10
extinguishers,7,13
antioxidants,26,12
vitamin,33,7
sucking,28,7
bandoleer,2,9
bullets,16,7
straps,13,6
pouches,3,7
readiness,38,9
loomed,20,6
swallowed,139,9
constrictor,3,11
serpent,38,7
guard,60,5
tightening,37,10
coil,13,4
desperation,50,11
bands,18,5
exerted,3,7
upright,66,7
blinding,20,8
dropping,37,8
machete,1,7
entrance,46,8
leaping,13,7
darkness,99,8
feared,16,6
palpable,16,8
forcing,41,7
legs,113,4
seam,54,4
springhalt,1,10
crooked,67,7
cottages,4,8
thatched,8,8
flower,167,6
bursting,20,8
pansies,1,7
nots,1,4
wound,160,5
orchards,8,8
sundial,5,7
woodsmoke,21,9
started,211,7
metallic,115,8
chirp,31,5
creak,50,5
shutter,16,7
creek,108,5
louder,71,6
curious,209,7
foundations,51,11
ivy,41,3
piston,14,6
shaft,65,5
somehow,54,7
machines,109,8
flashed,19,7
roaring,13,7
crash,71,5
abandonment,7,11
cleaned,28,7
oiled,17,5
grooves,43,7
pried,22,5
blossoms,25,8
swayed,22,6
plinth,7,6
fountain,35,8
smarter,139,7
investment,66,10
impetuous,2,9
wealth,46,6
investing,46,9
security,175,8
achieving,34,9
intentions,32,10
undermine,29,9
acting,103,6
impetuousness,3,13
focusing,60,8
disciplined,65,11
planned,51,7
impulse,36,7
emotion,164,7
excitement,53,10
selling,46,7
stocks,18,6
market,240,6
dip,45,3
buying,34,6
meme,12,4
mania,8,5
investors,31,9
buy,54,3
gamestop,1,8
dogecoin,1,8
hype,13,4
fundamentals,15,12
frenzy,9,6
hurts,9,5
frequent,70,8
trading,18,7
taxes,19,5
miss,73,4
compounding,23,11
returns,34,7
inflation,62,9
loosely,11,7
simplification,6,14
teazer,4,6
balkanize,2,9
aerator,3,7
overloaded,19,10
intriguing,21,10
deconstruct,3,11
complexity,126,10
organize,89,8
breathe,335,7
tasks,333,5
tackling,23,8
adaptable,57,9
distraction,70,11
negative,85,8
tease,6,5
calculated,21,10
enticing,1,8
hints,11,5
teaser,4,6
hook,29,4
kickstart,5,9
dive,68,4
headfirst,2,9
sentence,197,8
captures,63,8
double,90,6
wallpaper,17,9
itch,24,4
loves,51,5
puzzles,19,7
compels,1,7
reducing,210,8
boosting,32,8
motivation,92,10
backlash,54,8
racially,3,8
remarks,12,7
developing,73,10
disapprobatory,1,14
ebon,8,4
ebontech,1,8
allegedly,16,9
insensitive,3,11
comments,11,8
company,125,7
according,210,9
employees,37,9
attended,23,8
longtime,111,8
disparaging,2,11
initiatives,49,11
affirmative,2,11
implying,5,8
hires,3,5
qualified,8,9
merit,17,5
employee,27,8
requested,6,9
anonymity,9,9
slurs,1,5
dismissive,13,10
prejudice,3,9
protest,74,7
signed,33,6
citing,107,6
breach,27,6
leaders,143,7
civil,67,5
rights,90,6
organizations,48,13
weighed,8,7
rhetoric,18,8
efforts,198,7
equitable,31,9
workplaces,25,10
director,209,8
coalition,130,9
veiled,12,6
